CNTD(INFO_DM_CASE_ID)-value,CNTD(INFO_DM_CASE_ID)-alias,COUNTY-value,COUNTY-alias,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-value,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-alias,CNTD(INFO_DM_CASE_ID (copy))-alias,COUNTY (copy)-alias,MONTH(calc-color)-alias,population,per capita,,pop,,https://www.census.gov/data/tables/time-series/demo/popest/2020s-counties-total.html,,,,
0,0,0,0,NORFOLK,NOR,50,NORFOLK,Oct-22,725531,6.891504291,,,,,,,,
0,0,0,0,NANTUCKET,NAN,1,NANTUCKET,Oct-22,14421,6.934331877,,,,,,,,
0,0,0,0,MIDDLESEX,MID,115,MIDDLESEX,Oct-22,1617105,7.111473899,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,4,HAMPSHIRE,Oct-22,162588,2.460206165,,,,,,,,
0,0,0,0,HAMPDEN,HPD,37,HAMPDEN,Oct-22,461041,8.02531662,,,,,,,,
0,0,0,0,FRANKLIN,FRA,3,FRANKLIN,Oct-22,70894,4.231669817,,,,,,,,
0,0,0,0,ESSEX,ESS,47,ESSEX,Oct-22,806765,5.825736119,,,,,,,,
0,0,0,0,BRISTOL,BRI,56,BRISTOL,Oct-22,580068,9.654040561,,,,,,,,
0,0,0,0,BERKSHIRE,BER,12,BERKSHIRE,Oct-22,127859,9.385338537,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,7,BARNSTABLE,Oct-22,232457,3.011309619,,,,,,,,
0,0,0,0,%null%,TBD,4,%null%,Oct-22,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,54,WORCESTER,Sep-22,862927,6.257771515,,,,,,,,
0,0,0,0,SUFFOLK,SUF,61,SUFFOLK,Sep-22,766381,7.959487513,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,37,PLYMOUTH,Sep-22,533069,6.940940103,,,,,,,,
0,0,0,0,NORFOLK,NOR,62,NORFOLK,Sep-22,725531,8.545465321,,,,,,,,
0,0,0,0,NANTUCKET,NAN,1,NANTUCKET,Sep-22,14421,6.934331877,,,,,,,,
